,,,,,,,,,,,,,,,,,,,
508 PP,ENG 113 (H),NK,406 AB,GED 201 (B),JUS,406 AB,CSE 134 (C,BH,406 AB,ENG 113 (F),TF,406 AB,PHY 113 (G),MHS,406 AB,Booked,SRH,,
202,MAT 131 (C,MJU,202,MAT 131 (B),MJU,202,,,202,CSE 231 (A),SKM,202,CSE 321 (B),NN,202,CSE 233 (A),RR,,
203,CSE 132 (B),AH,203,CSE 131 (C,AHMSI,203,MAT 211 (A),BCD,203,CSE 214 (H),SMH,203,GED 201 (H),SKC,203,ENG 113 (E),TF,,
501 AB,CSE 221 (C),KA,501 AB,CSE 412 (B),ABMM,501 AB,ENG 123 (A),NJ,501 AB,MAT 211 (B),BCD,501 AB,CSE 214 (G),SMH,501 AB,CSE 323 (B),SL,,
504 AB,MAT 211 (E),MPL,504 AB,PHY 123 (C,SSK,504 AB,MAT 121 (B),SP,504 AB,ENG 123 (C,NJ,504 AB,CSE 212 (C,FS,504 AB,CSE 212 (D),FS,,
601 AB,CSE 221 (A),BH,601 AB,MAT 121 (A),SP,601 AB,GED 201 (F),SKC,601 AB,CSE 311 (B),MW,601 AB,CSE 333,SC,601 AB,CSE 212 (G),KWN,,
604 AB,CSE 221 (B),NHM,604 AB,CSE 313 (B),NRC,604 AB,CSE 313 (A),NRC,604 AB,CSE 131 (A),SL,604 AB,CSE 413 (A),JM,604 AB,GED 334,NH,,
306 AB,,,306 AB,Booked,,306 AB,CSE 134 (D),MTR,306 AB,MAT 211 (G),MPL,306 AB,GED 201 (D),JUS,306 AB,GED 201 (C,JUS,,
,,,,,,,,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,,,,,,,,
08:30-10:00,,,10:00-11:30,,,11.30-01:00,,,01:00-02:30,,,02:30-04:00,,,04:00-05:30,,,,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,,
L-305AB,CSE 123 (A),RS,L-305AB,CSE 123 (A),RS,L-305AB,CSE 413L (C,JM,L-305AB,CSE 413L (C,JM,L-305AB,CSE 314 (A),NRC,L-305AB,CSE 314 (A),NRC,,
L-301AB,CSE 135 (C,BH,L-301AB,CSE 135 (C,BH,L-301AB,CSE 411 (A),FNN,L-301AB,ENG 113 (B),TF,L-301AB,STA 133 (C,RA,L-301AB,CSE 421L(A),NNM,,
L-304AB,CSE 412L (B),ABMM,L-304AB,CSE 112 (B),MOI,L-304AB,CSE 413 (B),MOI,L-304AB,MAT 111 (A),SF,L-304AB,ENG 113 (A),TF,L-304AB,CSE 112 (C,MOI,,
406 AB,Booked,MTR,406 AB,MAT 111 (H),SP,406 AB,CSE 112 (F),SKM,406 AB,CSE 311 (A),AR,406 AB,CSE 112 (G),SKM,406 AB,CSE 321 (A),KA,,
202,MAT 211 (D),MPL,202,PHY 123 (B),KI,202,PHY 123 (A),KI,202,CSE 322 (B),RR,202,CSE 122 (C,SRH,202,CSE 132 (D),HK,,
203,MAT 111 (B),SF,203,PHY 123 (D),SSK,203,ENG 123 (B),NJ,203,MAT 121 (C,SP,203,CSE 131 (D),AHMSI,203,CSE 411 (C,SR,,
501 AB,CSE 122 (D),SN,501 AB,CSE 132 (A),JI,501 AB,CSE 331,RH,501 AB,MAT 211 (H),MPL,501 AB,CSE 412 (C,ABMM,501 AB,CSE 313 (C,AR,,
504 AB,CSE 212 (B),FNN,504 AB,CSE 212 (A),FNN,504 AB,CSE 134 (B),BH,504 AB,ENG 123 (D),NJ,504 AB,CSE 421(A),NNM,504 AB,PHY 113 (B),SSK,,
601 AB,CSE 212 (E),ARA,601 AB,CSE 214 (D),SMH,601 AB,CSE 134 (A),SAH,601 AB,CSE 131 (B),SL,601 AB,CSE 311 (C,MTR,601 AB,CSE 323 (B),SL,,
604 AB,PHY 113 (D),SSK,604 AB,CSE 313 (B),NRC,604 AB,CSE 214 (E),MMH,604 AB,CSE 214 (A),SAH,604 AB,CSE 214 (F),MMH,604 AB,CSE 332,SAH,,
507 PP,ENG 113 (G),NK,306 AB,CSE 322 (A),MFH,306 AB,CSE 431,MFH,306 AB,CSE 323 (A),AHMSI,306 AB,CSE 412 (A),SR,306 AB,CSE 212 (H),FA,,
,,,,,,,,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,,,,,,,,
08:30-10:00,,,10:00-11:30,,,11.30-01:00,,,01:00-02:30,,,02:30-04:00,,,04:00-05:30,,,,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,,
L-305AB,CSE 412L (A),SR,L-305AB,CSE 412L (A),SR,L-305AB,CSE 413L (A),JM,L-305AB,CSE 413L (A),JM,L-305AB,CSE 314 (C,AR,L-305AB,CSE 314 (C,AR,,
L-301AB,CSE 312 (B),MW,L-301AB,CSE 312 (B),MW,L-301AB,CSE 321L (A),NN,L-301AB,CSE 321L (A),NN,L-301AB,PHY 113 (D),SSK,L-301AB,,,,
L-304AB,CSE 123 (D),SN,L-304AB,CSE 123 (D),SN,L-304AB,CSE 222 (A),BH,L-304AB,CSE 222 (A),BH,L-304AB,MAT 111 (C,SF,L-304AB,ENG 113 (C,TF,,
406 AB,CSE 221 (A),BH,406 AB,MAT 111 (F),SF,406 AB,PHY 113 (E),SKN,406 AB,MAT 111 (G),SP,406 AB,,,406 AB,MAT 111 (E),SF,,
202,CSE 221 (C),KA,202,CSE 224 (C),HR,202,ENG 123 (C,NJ,202,CSE 214 (D),SMH,202,CSE 122 (B),RS,202,GED 334,NH,,
203,MAT 111 (D),SF,203,MAT 131 (C,MJU,203,CSE 212 (D),FS,203,PHY 113 (C,SSK,203,CSE 224 (B),HR,203,STA 133 (A),RA,,
501 AB,MAT 211 (C,BCD,501 AB,GED 201 (A),JUS,501 AB,CSE 212 (F),SN,501 AB,STA 133 (B),RA,501 AB,CSE 333,SC,501 AB,GED 201 (D),JUS,,
504 AB,CSE 212 (G),KWN,504 AB,CSE 321 (A),KA,504 AB,MAT 211 (B),BCD,504 AB,CSE 212 (C,FS,504 AB,CSE 214 (B),KWN,504 AB,CSE 132 (D),HK,,
601 AB,CSE 221 (B),NHM,601 AB,PHY 123 (C,SSK,601 AB,MAT 121 (B),SP,601 AB,MAT 131 (A),MJU,601 AB,CSE 131 (C,AHMSI,601 AB,,,,
604 AB,CSE 212 (B),FNN,604 AB,CSE 214 (G),SMH,604 AB,CSE 131 (B),SL,604 AB,ENG 113 (D),TF,604 AB,CSE 131 (A),SL,604 AB,Meeting/Seminar,,,
508 PP,ENG 113 (H),NK,306 AB,MAT 211 (F),MPL,306 AB,MAT 211 (G),MPL,306 AB,GED 201 (F),SKC,306 AB,STA 133 (C,RA,306 AB,CSE 212 (H),FA,,
,,,,,,,,,,,,,,,,,,,
Thursday,,,,,,,,,,,,,,,,,,,
08:30-10:00,,,10:00-11:30,,,11.30-01:00,,,01:00-02:30,,,02:30-04:00,,,04:00-05:30,,,,
Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,Room,Course,Teacher,,
L-305AB,,,L-305AB,CSE 122 (A),RS,L-305AB,CSE 215 (D),JM,L-305AB,CSE 215 (D),JM,L-305AB,CSE 331L,RH,L-305AB,CSE 331L,RH,,
L-301AB,CSE 321L (B),NN,L-301AB,CSE 321L (B),NN,L-301AB,CSE 215 (B),KWN,L-301AB,CSE 215 (B),KWN,L-301AB,CSE 215 (G),ABMM,L-301AB,CSE 215 (G),ABMM,,
L-304AB,CSE 215 (C,ABMM,L-304AB,CSE 215 (C,ABMM,L-304AB,CSE 135 (B),BH,L-304AB,CSE 135 (B),BH,L-304AB,CSE 323L (B),SL,L-304AB,CSE 323L (B),SL,,
406 AB,,,406 AB,Booked,SF,406 AB,CSE 112 (D),MOI,406 AB,CSE 112 (G),SKM,406 AB,CSE 313 (C,AR,406 AB,PHY 113 (H),AT,,
202,CSE 134 (C,BH,202,CSE 234 (B),KWN,202,ENG 123 (D),NJ,202,,,202,CSE 224 (B),HR,202,CSE 413 (B),MOI,,
203,CSE 224 (A),HR,203,PHY 113 (F),MKA,203,CSE 233 (A),RR,203,CSE 412 (B),ABMM,203,CSE 112 (H),MOI,203,,,,
501 AB,MAT 111 (D),SF,501 AB,CSE 214 (H),SMH,501 AB,,,501 AB,CSE 131 (D),AHMSI,501 AB,MAT 131 (D),MJU,501 AB,CSE 233 (B),RR,,
504 AB,,,504 AB,MAT 131 (A),MJU,504 AB,MAT 111 (E),SF,504 AB,,,504 AB,MAT 111 (A),SF,504 AB,ENG 113 (A),TF,,
601 AB,,,601 AB,CSE 132 (C,HK,601 AB,PHY 113 (G),MHS,601 AB,ENG 113 (D),TF,601 AB,PHY 113 (B),SSK,601 AB,MAT 111 (B),SF,,
604 AB,CSE 234 (A),KWN,604 AB,MAT 211 (D),MPL,604 AB,PHY 113 (C,SSK,604 AB,CSE 231 (B),NNM,604 AB,ENG 113 (E),TF,604 AB,CSE 311 (A),AR,,
508 PP,ENG 113 (G),NK,306 AB,PHY 113 (A),SSK,306 AB,MAT 211 (H),MPL,306 AB,,,306 AB,CSE 212 (E),ARA,306 AB,,,,
"N.B: Students of PHY 124, CSE 133, 213 & 225 are advised to contact with their respective teachers for Lab routine. ",,,,,,,"Dr. Syed Akhter Hossain, Professor and Head",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
